run_id	__done	run_number	function	input_size	treatment	execution_time	cpu_usage	memory_usage	energy_usage	rep_idx	schedule_order
run_136	TODO	r1	MaxSubarray	10^4	Unroll-4					1	1
run_121	TODO	r1	MaxSubarray	10^4	Baseline					1	2
run_331	TODO	r1	ProductSum	10^5	Baseline					1	3
run_346	TODO	r1	ProductSum	10^5	Unroll-4					1	4
run_271	TODO	r1	Knapsack	500_items	Baseline					1	5
run_286	TODO	r1	Knapsack	500_items	Unroll-4					1	6
run_451	TODO	r1	BFS	1e4_nodes	Baseline					1	7
run_466	TODO	r1	BFS	1e4_nodes	Unroll-4					1	8
run_316	TODO	r1	PrefixSum	10^6	Unroll-4					1	9
run_301	TODO	r1	PrefixSum	10^6	Baseline					1	10
run_376	TODO	r1	StockSpan	10^5	Unroll-4					1	11
run_361	TODO	r1	StockSpan	10^5	Baseline					1	12
run_256	TODO	r1	Knapsack	100_items	Unroll-4					1	13
run_241	TODO	r1	Knapsack	100_items	Baseline					1	14
run_001	TODO	r1	Mergesort	10^4	Baseline					1	15
run_016	TODO	r1	Mergesort	10^4	Unroll-4					1	16
run_076	TODO	r1	Strassen	128x128	Unroll-4					1	17
run_061	TODO	r1	Strassen	128x128	Baseline					1	18
run_406	TODO	r1	EquilibriumIndex	10^5	Unroll-4					1	19
run_391	TODO	r1	EquilibriumIndex	10^5	Baseline					1	20
run_181	TODO	r1	FloydWarshall	100x100	Baseline					1	21
run_196	TODO	r1	FloydWarshall	100x100	Unroll-4					1	22
run_211	TODO	r1	FloydWarshall	200x200	Baseline					1	23
run_226	TODO	r1	FloydWarshall	200x200	Unroll-4					1	24
run_031	TODO	r1	Mergesort	10^5	Baseline					1	25
run_046	TODO	r1	Mergesort	10^5	Unroll-4					1	26
run_436	TODO	r1	BFS	1e3_nodes	Unroll-4					1	27
run_421	TODO	r1	BFS	1e3_nodes	Baseline					1	28
run_166	TODO	r1	MaxSubarray	10^5	Unroll-4					1	29
run_151	TODO	r1	MaxSubarray	10^5	Baseline					1	30
run_091	TODO	r1	Strassen	256x256	Baseline					1	31
run_106	TODO	r1	Strassen	256x256	Unroll-4					1	32
run_107	TODO	r2	Strassen	256x256	Unroll-4					2	33
run_092	TODO	r2	Strassen	256x256	Baseline					2	34
run_467	TODO	r2	BFS	1e4_nodes	Unroll-4					2	35
run_452	TODO	r2	BFS	1e4_nodes	Baseline					2	36
run_377	TODO	r2	StockSpan	10^5	Unroll-4					2	37
run_362	TODO	r2	StockSpan	10^5	Baseline					2	38
run_062	TODO	r2	Strassen	128x128	Baseline					2	39
run_077	TODO	r2	Strassen	128x128	Unroll-4					2	40
run_317	TODO	r2	PrefixSum	10^6	Unroll-4					2	41
run_302	TODO	r2	PrefixSum	10^6	Baseline					2	42
run_347	TODO	r2	ProductSum	10^5	Unroll-4					2	43
run_332	TODO	r2	ProductSum	10^5	Baseline					2	44
run_437	TODO	r2	BFS	1e3_nodes	Unroll-4					2	45
run_422	TODO	r2	BFS	1e3_nodes	Baseline					2	46
run_287	TODO	r2	Knapsack	500_items	Unroll-4					2	47
run_272	TODO	r2	Knapsack	500_items	Baseline					2	48
run_227	TODO	r2	FloydWarshall	200x200	Unroll-4					2	49
run_212	TODO	r2	FloydWarshall	200x200	Baseline					2	50
run_197	TODO	r2	FloydWarshall	100x100	Unroll-4					2	51
run_182	TODO	r2	FloydWarshall	100x100	Baseline					2	52
run_137	TODO	r2	MaxSubarray	10^4	Unroll-4					2	53
run_122	TODO	r2	MaxSubarray	10^4	Baseline					2	54
run_032	TODO	r2	Mergesort	10^5	Baseline					2	55
run_047	TODO	r2	Mergesort	10^5	Unroll-4					2	56
run_017	TODO	r2	Mergesort	10^4	Unroll-4					2	57
run_002	TODO	r2	Mergesort	10^4	Baseline					2	58
run_152	TODO	r2	MaxSubarray	10^5	Baseline					2	59
run_167	TODO	r2	MaxSubarray	10^5	Unroll-4					2	60
run_242	TODO	r2	Knapsack	100_items	Baseline					2	61
run_257	TODO	r2	Knapsack	100_items	Unroll-4					2	62
run_392	TODO	r2	EquilibriumIndex	10^5	Baseline					2	63
run_407	TODO	r2	EquilibriumIndex	10^5	Unroll-4					2	64
run_198	TODO	r3	FloydWarshall	100x100	Unroll-4					3	65
run_183	TODO	r3	FloydWarshall	100x100	Baseline					3	66
run_213	TODO	r3	FloydWarshall	200x200	Baseline					3	67
run_228	TODO	r3	FloydWarshall	200x200	Unroll-4					3	68
run_348	TODO	r3	ProductSum	10^5	Unroll-4					3	69
run_333	TODO	r3	ProductSum	10^5	Baseline					3	70
run_168	TODO	r3	MaxSubarray	10^5	Unroll-4					3	71
run_153	TODO	r3	MaxSubarray	10^5	Baseline					3	72
run_378	TODO	r3	StockSpan	10^5	Unroll-4					3	73
run_363	TODO	r3	StockSpan	10^5	Baseline					3	74
run_438	TODO	r3	BFS	1e3_nodes	Unroll-4					3	75
run_423	TODO	r3	BFS	1e3_nodes	Baseline					3	76
run_288	TODO	r3	Knapsack	500_items	Unroll-4					3	77
run_273	TODO	r3	Knapsack	500_items	Baseline					3	78
run_093	TODO	r3	Strassen	256x256	Baseline					3	79
run_108	TODO	r3	Strassen	256x256	Unroll-4					3	80
run_063	TODO	r3	Strassen	128x128	Baseline					3	81
run_078	TODO	r3	Strassen	128x128	Unroll-4					3	82
run_258	TODO	r3	Knapsack	100_items	Unroll-4					3	83
run_243	TODO	r3	Knapsack	100_items	Baseline					3	84
run_318	TODO	r3	PrefixSum	10^6	Unroll-4					3	85
run_303	TODO	r3	PrefixSum	10^6	Baseline					3	86
run_408	TODO	r3	EquilibriumIndex	10^5	Unroll-4					3	87
run_393	TODO	r3	EquilibriumIndex	10^5	Baseline					3	88
run_138	TODO	r3	MaxSubarray	10^4	Unroll-4					3	89
run_123	TODO	r3	MaxSubarray	10^4	Baseline					3	90
run_453	TODO	r3	BFS	1e4_nodes	Baseline					3	91
run_468	TODO	r3	BFS	1e4_nodes	Unroll-4					3	92
run_018	TODO	r3	Mergesort	10^4	Unroll-4					3	93
run_003	TODO	r3	Mergesort	10^4	Baseline					3	94
run_033	TODO	r3	Mergesort	10^5	Baseline					3	95
run_048	TODO	r3	Mergesort	10^5	Unroll-4					3	96
run_154	TODO	r4	MaxSubarray	10^5	Baseline					4	97
run_169	TODO	r4	MaxSubarray	10^5	Unroll-4					4	98
run_244	TODO	r4	Knapsack	100_items	Baseline					4	99
run_259	TODO	r4	Knapsack	100_items	Unroll-4					4	100
run_454	TODO	r4	BFS	1e4_nodes	Baseline					4	101
run_469	TODO	r4	BFS	1e4_nodes	Unroll-4					4	102
run_364	TODO	r4	StockSpan	10^5	Baseline					4	103
run_379	TODO	r4	StockSpan	10^5	Unroll-4					4	104
run_139	TODO	r4	MaxSubarray	10^4	Unroll-4					4	105
run_124	TODO	r4	MaxSubarray	10^4	Baseline					4	106
run_274	TODO	r4	Knapsack	500_items	Baseline					4	107
run_289	TODO	r4	Knapsack	500_items	Unroll-4					4	108
run_334	TODO	r4	ProductSum	10^5	Baseline					4	109
run_349	TODO	r4	ProductSum	10^5	Unroll-4					4	110
run_109	TODO	r4	Strassen	256x256	Unroll-4					4	111
run_094	TODO	r4	Strassen	256x256	Baseline					4	112
run_199	TODO	r4	FloydWarshall	100x100	Unroll-4					4	113
run_184	TODO	r4	FloydWarshall	100x100	Baseline					4	114
run_409	TODO	r4	EquilibriumIndex	10^5	Unroll-4					4	115
run_394	TODO	r4	EquilibriumIndex	10^5	Baseline					4	116
run_319	TODO	r4	PrefixSum	10^6	Unroll-4					4	117
run_304	TODO	r4	PrefixSum	10^6	Baseline					4	118
run_049	TODO	r4	Mergesort	10^5	Unroll-4					4	119
run_034	TODO	r4	Mergesort	10^5	Baseline					4	120
run_214	TODO	r4	FloydWarshall	200x200	Baseline					4	121
run_229	TODO	r4	FloydWarshall	200x200	Unroll-4					4	122
run_424	TODO	r4	BFS	1e3_nodes	Baseline					4	123
run_439	TODO	r4	BFS	1e3_nodes	Unroll-4					4	124
run_004	TODO	r4	Mergesort	10^4	Baseline					4	125
run_019	TODO	r4	Mergesort	10^4	Unroll-4					4	126
run_064	TODO	r4	Strassen	128x128	Baseline					4	127
run_079	TODO	r4	Strassen	128x128	Unroll-4					4	128
run_185	TODO	r5	FloydWarshall	100x100	Baseline					5	129
run_200	TODO	r5	FloydWarshall	100x100	Unroll-4					5	130
run_155	TODO	r5	MaxSubarray	10^5	Baseline					5	131
run_170	TODO	r5	MaxSubarray	10^5	Unroll-4					5	132
run_290	TODO	r5	Knapsack	500_items	Unroll-4					5	133
run_275	TODO	r5	Knapsack	500_items	Baseline					5	134
run_335	TODO	r5	ProductSum	10^5	Baseline					5	135
run_350	TODO	r5	ProductSum	10^5	Unroll-4					5	136
run_050	TODO	r5	Mergesort	10^5	Unroll-4					5	137
run_035	TODO	r5	Mergesort	10^5	Baseline					5	138
run_320	TODO	r5	PrefixSum	10^6	Unroll-4					5	139
run_305	TODO	r5	PrefixSum	10^6	Baseline					5	140
run_110	TODO	r5	Strassen	256x256	Unroll-4					5	141
run_095	TODO	r5	Strassen	256x256	Baseline					5	142
run_065	TODO	r5	Strassen	128x128	Baseline					5	143
run_080	TODO	r5	Strassen	128x128	Unroll-4					5	144
run_425	TODO	r5	BFS	1e3_nodes	Baseline					5	145
run_440	TODO	r5	BFS	1e3_nodes	Unroll-4					5	146
run_260	TODO	r5	Knapsack	100_items	Unroll-4					5	147
run_245	TODO	r5	Knapsack	100_items	Baseline					5	148
run_380	TODO	r5	StockSpan	10^5	Unroll-4					5	149
run_365	TODO	r5	StockSpan	10^5	Baseline					5	150
run_410	TODO	r5	EquilibriumIndex	10^5	Unroll-4					5	151
run_395	TODO	r5	EquilibriumIndex	10^5	Baseline					5	152
run_020	TODO	r5	Mergesort	10^4	Unroll-4					5	153
run_005	TODO	r5	Mergesort	10^4	Baseline					5	154
run_455	TODO	r5	BFS	1e4_nodes	Baseline					5	155
run_470	TODO	r5	BFS	1e4_nodes	Unroll-4					5	156
run_230	TODO	r5	FloydWarshall	200x200	Unroll-4					5	157
run_215	TODO	r5	FloydWarshall	200x200	Baseline					5	158
run_125	TODO	r5	MaxSubarray	10^4	Baseline					5	159
run_140	TODO	r5	MaxSubarray	10^4	Unroll-4					5	160
run_081	TODO	r6	Strassen	128x128	Unroll-4					6	161
run_066	TODO	r6	Strassen	128x128	Baseline					6	162
run_156	TODO	r6	MaxSubarray	10^5	Baseline					6	163
run_171	TODO	r6	MaxSubarray	10^5	Unroll-4					6	164
run_321	TODO	r6	PrefixSum	10^6	Unroll-4					6	165
run_306	TODO	r6	PrefixSum	10^6	Baseline					6	166
run_261	TODO	r6	Knapsack	100_items	Unroll-4					6	167
run_246	TODO	r6	Knapsack	100_items	Baseline					6	168
run_141	TODO	r6	MaxSubarray	10^4	Unroll-4					6	169
run_126	TODO	r6	MaxSubarray	10^4	Baseline					6	170
run_291	TODO	r6	Knapsack	500_items	Unroll-4					6	171
run_276	TODO	r6	Knapsack	500_items	Baseline					6	172
run_036	TODO	r6	Mergesort	10^5	Baseline					6	173
run_051	TODO	r6	Mergesort	10^5	Unroll-4					6	174
run_351	TODO	r6	ProductSum	10^5	Unroll-4					6	175
run_336	TODO	r6	ProductSum	10^5	Baseline					6	176
run_396	TODO	r6	EquilibriumIndex	10^5	Baseline					6	177
run_411	TODO	r6	EquilibriumIndex	10^5	Unroll-4					6	178
run_471	TODO	r6	BFS	1e4_nodes	Unroll-4					6	179
run_456	TODO	r6	BFS	1e4_nodes	Baseline					6	180
run_216	TODO	r6	FloydWarshall	200x200	Baseline					6	181
run_231	TODO	r6	FloydWarshall	200x200	Unroll-4					6	182
run_186	TODO	r6	FloydWarshall	100x100	Baseline					6	183
run_201	TODO	r6	FloydWarshall	100x100	Unroll-4					6	184
run_021	TODO	r6	Mergesort	10^4	Unroll-4					6	185
run_006	TODO	r6	Mergesort	10^4	Baseline					6	186
run_381	TODO	r6	StockSpan	10^5	Unroll-4					6	187
run_366	TODO	r6	StockSpan	10^5	Baseline					6	188
run_096	TODO	r6	Strassen	256x256	Baseline					6	189
run_111	TODO	r6	Strassen	256x256	Unroll-4					6	190
run_441	TODO	r6	BFS	1e3_nodes	Unroll-4					6	191
run_426	TODO	r6	BFS	1e3_nodes	Baseline					6	192
run_427	TODO	r7	BFS	1e3_nodes	Baseline					7	193
run_442	TODO	r7	BFS	1e3_nodes	Unroll-4					7	194
run_022	TODO	r7	Mergesort	10^4	Unroll-4					7	195
run_007	TODO	r7	Mergesort	10^4	Baseline					7	196
run_412	TODO	r7	EquilibriumIndex	10^5	Unroll-4					7	197
run_397	TODO	r7	EquilibriumIndex	10^5	Baseline					7	198
run_307	TODO	r7	PrefixSum	10^6	Baseline					7	199
run_322	TODO	r7	PrefixSum	10^6	Unroll-4					7	200
run_052	TODO	r7	Mergesort	10^5	Unroll-4					7	201
run_037	TODO	r7	Mergesort	10^5	Baseline					7	202
run_232	TODO	r7	FloydWarshall	200x200	Unroll-4					7	203
run_217	TODO	r7	FloydWarshall	200x200	Baseline					7	204
run_097	TODO	r7	Strassen	256x256	Baseline					7	205
run_112	TODO	r7	Strassen	256x256	Unroll-4					7	206
run_472	TODO	r7	BFS	1e4_nodes	Unroll-4					7	207
run_457	TODO	r7	BFS	1e4_nodes	Baseline					7	208
run_172	TODO	r7	MaxSubarray	10^5	Unroll-4					7	209
run_157	TODO	r7	MaxSubarray	10^5	Baseline					7	210
run_067	TODO	r7	Strassen	128x128	Baseline					7	211
run_082	TODO	r7	Strassen	128x128	Unroll-4					7	212
run_187	TODO	r7	FloydWarshall	100x100	Baseline					7	213
run_202	TODO	r7	FloydWarshall	100x100	Unroll-4					7	214
run_262	TODO	r7	Knapsack	100_items	Unroll-4					7	215
run_247	TODO	r7	Knapsack	100_items	Baseline					7	216
run_382	TODO	r7	StockSpan	10^5	Unroll-4					7	217
run_367	TODO	r7	StockSpan	10^5	Baseline					7	218
run_292	TODO	r7	Knapsack	500_items	Unroll-4					7	219
run_277	TODO	r7	Knapsack	500_items	Baseline					7	220
run_352	TODO	r7	ProductSum	10^5	Unroll-4					7	221
run_337	TODO	r7	ProductSum	10^5	Baseline					7	222
run_142	TODO	r7	MaxSubarray	10^4	Unroll-4					7	223
run_127	TODO	r7	MaxSubarray	10^4	Baseline					7	224
run_098	TODO	r8	Strassen	256x256	Baseline					8	225
run_113	TODO	r8	Strassen	256x256	Unroll-4					8	226
run_263	TODO	r8	Knapsack	100_items	Unroll-4					8	227
run_248	TODO	r8	Knapsack	100_items	Baseline					8	228
run_023	TODO	r8	Mergesort	10^4	Unroll-4					8	229
run_008	TODO	r8	Mergesort	10^4	Baseline					8	230
run_473	TODO	r8	BFS	1e4_nodes	Unroll-4					8	231
run_458	TODO	r8	BFS	1e4_nodes	Baseline					8	232
run_278	TODO	r8	Knapsack	500_items	Baseline					8	233
run_293	TODO	r8	Knapsack	500_items	Unroll-4					8	234
run_143	TODO	r8	MaxSubarray	10^4	Unroll-4					8	235
run_128	TODO	r8	MaxSubarray	10^4	Baseline					8	236
run_308	TODO	r8	PrefixSum	10^6	Baseline					8	237
run_323	TODO	r8	PrefixSum	10^6	Unroll-4					8	238
run_368	TODO	r8	StockSpan	10^5	Baseline					8	239
run_383	TODO	r8	StockSpan	10^5	Unroll-4					8	240
run_038	TODO	r8	Mergesort	10^5	Baseline					8	241
run_053	TODO	r8	Mergesort	10^5	Unroll-4					8	242
run_233	TODO	r8	FloydWarshall	200x200	Unroll-4					8	243
